GPT-香港,#genre#
翡翠台,https://smt.passwdword.xyz/Smart.php?id=jade_twn
翡翠台,https://smt.passwdword.xyz/Smart.php?id=Jade_xue
明珠台,https://smt.passwdword.xyz/Smart.php?id=pearl_twn
无线新闻,https://smt.passwdword.xyz/Smart.php?id=inews_twn
TVBPLUS,https://smt.passwdword.xyz/Smart.php?id=j2_twn
ViuTV,https://smt.passwdword.xyz/Smart.php?id=viu1_twn
ViuTV 6,https://smt.passwdword.xyz/Smart.php?id=viusix_twn
RTHK 31,https://smt.passwdword.xyz/Smart.php?id=rhk31_twn
RTHK 32,https://smt.passwdword.xyz/Smart.php?id=rhk32_twn
HOY TV,https://smt.passwdword.xyz/Smart.php?id=hoycaijing_twn
凤凰中文,https://smt.passwdword.xyz/Smart.php?id=phoenixtv_hd
凤凰资讯,https://smt.passwdword.xyz/Smart.php?id=phoenixinfo_hd
凤凰香港,https://smt.passwdword.xyz/Smart.php?id=hkphoenix_twn
GPT-台湾,#genre#
台视 HD,https://smt.passwdword.xyz/Smart.php?id=ttv_taiwan
台视新闻,https://smt.passwdword.xyz/Smart.php?id=ttvnews_twn
台视综合,https://smt.passwdword.xyz/Smart.php?id=ttvzhonghe
中视 HD,https://smt.passwdword.xyz/Smart.php?id=zhongshihd_twn
中视新闻,https://smt.passwdword.xyz/Smart.php?id=zhongshinews_twn
中视经典,https://smt.passwdword.xyz/Smart.php?id=zhongshi_twn
华视 HD,https://smt.passwdword.xyz/Smart.php?id=ctshd_twn
公视 HD,https://smt.passwdword.xyz/Smart.php?id=ctv_taiwan
公视台语台,https://smt.passwdword.xyz/Smart.php?id=ctv2_twn
三立台湾台,https://smt.passwdword.xyz/Smart.php?id=sanlitaiwan
三立都会台,https://smt.passwdword.xyz/Smart.php?id=sanlidouhui
三立综合台,https://smt.passwdword.xyz/Smart.php?id=sanlizhonghe
三立戏剧台,https://smt.passwdword.xyz/Smart.php?id=sanlixiju_twn
东森新闻台,https://smt.passwdword.xyz/Smart.php?id=ettvnews
东森财经新闻台,https://smt.passwdword.xyz/Smart.php?id=ettvcaijing_twn
东森综合台,https://smt.passwdword.xyz/Smart.php?id=ettvzhonghe
东森戏剧台,https://smt.passwdword.xyz/Smart.php?id=ettvdrama
东森电影台,https://smt.passwdword.xyz/Smart.php?id=ettvmovie
东森洋片台,https://smt.passwdword.xyz/Smart.php?id=ettvwestern
东森幼幼台,https://smt.passwdword.xyz/Smart.php?id=yoyo_twn
东森超视,https://smt.passwdword.xyz/Smart.php?id=ettvsuper
TVBS HD,https://smt.passwdword.xyz/Smart.php?id=tvbs
TVBS 新闻台,https://smt.passwdword.xyz/Smart.php?id=tvbs_n
TVBS 欢乐台,https://smt.passwdword.xyz/Smart.php?id=tvbshuanle_twn
民视 HD,https://smt.passwdword.xyz/Smart.php?id=ftvhd_taiwan
民视新闻台,https://smt.passwdword.xyz/Smart.php?id=ftvnew_taiwan
民视台湾台,https://smt.passwdword.xyz/Smart.php?id=ftvtaiwan_twn
中天综合,https://smt.passwdword.xyz/Smart.php?id=ctizhonghe
中天娱乐,https://smt.passwdword.xyz/Smart.php?id=ctient
中天亚洲,https://smt.passwdword.xyz/Smart.php?id=ctiasia_twn
中天新闻,https://smt.passwdword.xyz/Smart.php?id=ctinews
寰宇新闻台,https://smt.passwdword.xyz/Smart.php?id=huanyuxinwen_twn
寰宇财经台,https://smt.passwdword.xyz/Smart.php?id=huanyutaiwan_twn
八大第一台,https://smt.passwdword.xyz/Smart.php?id=badafirst
八大综合台,https://smt.passwdword.xyz/Smart.php?id=badazhonghe
八大戏剧台,https://smt.passwdword.xyz/Smart.php?id=badadrama
八大娱乐台,https://smt.passwdword.xyz/Smart.php?id=badaentertain
纬来体育,https://smt.passwdword.xyz/Smart.php?id=videolandsport
纬来精彩,https://smt.passwdword.xyz/Smart.php?id=videolandspecial_twn
纬来日本,https://smt.passwdword.xyz/Smart.php?id=videolandjapan
纬来电影,https://smt.passwdword.xyz/Smart.php?id=videolandmovie
纬来综合,https://smt.passwdword.xyz/Smart.php?id=videolandzonghe
纬来育乐,https://smt.passwdword.xyz/Smart.php?id=videolandyule
爱尔达综合台,https://smt.passwdword.xyz/Smart.php?id=eltazonghe_twn
爱尔达影剧台,https://smt.passwdword.xyz/Smart.php?id=eltayingju_twn
爱尔达体育1台,https://smt.passwdword.xyz/Smart.php?id=eltasport_twn
爱尔达体育2台,https://smt.passwdword.xyz/Smart.php?id=eltasport2_twn
爱尔达体育3台,https://smt.passwdword.xyz/Smart.php?id=eltasport3_twn
非凡新闻,https://smt.passwdword.xyz/Smart.php?id=feifannews_twn
年代新闻,https://smt.passwdword.xyz/Smart.php?id=niandainews_twn
龙华戏剧,https://smt.passwdword.xyz/Smart.php?id=lunghuaxiju_twn
龙华偶像,https://smt.passwdword.xyz/Smart.php?id=lunghuaidol_twn
龙华电影,https://smt.passwdword.xyz/Smart.php?id=xingwei_movie
龙华洋片,https://smt.passwdword.xyz/Smart.php?id=lunghuawestern_twn
龙华经典,https://smt.passwdword.xyz/Smart.php?id=lunghuajingdian_twn
靖天国际,https://smt.passwdword.xyz/Smart.php?id=jingtianintl_twn
靖天卡通,https://smt.passwdword.xyz/Smart.php?id=jingtiancartoon_twn
大愛電視,https://smt.passwdword.xyz/Smart.php?id=daai_twn
大愛二台,https://smt.passwdword.xyz/Smart.php?id=daai2_twn
EYE 旅游台,https://smt.passwdword.xyz/Smart.php?id=eyetvtravel_twn
EYE 戏剧台,https://smt.passwdword.xyz/Smart.php?id=eyetvxiju_twn
亚洲美食,https://smt.passwdword.xyz/Smart.php?id=afc_twn
美食星球,https://smt.passwdword.xyz/Smart.php?id=foodplanet_twn
TLC旅遊生活,https://smt.passwdword.xyz/Smart.php?id=tlc_twn
亚洲旅游台,https://smt.passwdword.xyz/Smart.php?id=asiatravel_twn
Arirang,https://smt.passwdword.xyz/Smart.php?id=arirang_twn
AXN Taiwan,https://smt.passwdword.xyz/Smart.php?id=axn_twn
MTV Live,https://smt.passwdword.xyz/Smart.php?id=mtvhd_twn
HBO_HD,https://smt.passwdword.xyz/Smart.php?id=hbohd_twn
HBO_HITS,https://smt.passwdword.xyz/Smart.php?id=hbohit_twn
CINEMAX,https://smt.passwdword.xyz/Smart.php?id=cinemax_twn
好萊塢電影台,https://smt.passwdword.xyz/Smart.php?id=hollywoodmovies_twn
卫视电影台,https://smt.passwdword.xyz/Smart.php?id=weishimovie_twn
龙祥时代,https://smt.passwdword.xyz/Smart.php?id=lungxiangtime_twn
美亚电影,https://smt.passwdword.xyz/Smart.php?id=meiyamovie_twn
華藝綜合,https://smt.passwdword.xyz/Smart.php?id=weishichinese_twn
博斯运动一台,https://smt.passwdword.xyz/Smart.php?id=bosisport1_twn
博斯运动二台,https://smt.passwdword.xyz/Smart.php?id=bosisport2_twn
博斯高球一台,https://smt.passwdword.xyz/Smart.php?id=bosigolf1_twn
博斯高球二台,https://smt.passwdword.xyz/Smart.php?id=bosigolf2_twn
博斯网球台,https://smt.passwdword.xyz/Smart.php?id=bositennis_twn
博斯无限台,https://smt.passwdword.xyz/Smart.php?id=bosiunlimited_twn
好消息 2,https://smt.passwdword.xyz/Smart.php?id=good2_twn
GPT-央视,#genre#
CCTV-1 综合,https://smt.passwdword.xyz/Smart.php?id=cctv1
CCTV-2 财经,https://smt.passwdword.xyz/Smart.php?id=cctv2
CCTV-3 综艺,https://smt.passwdword.xyz/Smart.php?id=cctv3
CCTV-4 中文国际,https://smt.passwdword.xyz/Smart.php?id=Cctv4
CCTV-4 中文国际,https://smt.passwdword.xyz/Smart.php?id=cctv4
CCTV-5 体育,https://smt.passwdword.xyz/Smart.php?id=cctv5
CCTV-6 电影,https://smt.passwdword.xyz/Smart.php?id=cctv6
CCTV-7 国防军事,https://smt.passwdword.xyz/Smart.php?id=cctv7
CCTV-8 电视剧,https://smt.passwdword.xyz/Smart.php?id=cctv8hd
CCTV-9 记录,https://smt.passwdword.xyz/Smart.php?id=cctv9hd
CCTV-10 科教,https://smt.passwdword.xyz/Smart.php?id=cctv10hd
CCTV-11 戏曲,https://smt.passwdword.xyz/Smart.php?id=cctv11
CCTV-12 社会与法,https://smt.passwdword.xyz/Smart.php?id=cctv12
CCTV-13 新闻,https://smt.passwdword.xyz/Smart.php?id=cctv13
CCTV-14 少儿,https://smt.passwdword.xyz/Smart.php?id=cctv14
CCTV-15 音乐,https://smt.passwdword.xyz/Smart.php?id=cctv15
CCTV-16 奥林匹克,https://smt.passwdword.xyz/Smart.php?id=cctv16
CCTV-17 农业农村,https://smt.passwdword.xyz/Smart.php?id=cctv17
CCTV-5+ 体育赛事,https://smt.passwdword.xyz/Smart.php?id=cctv5plus
湖南卫视,https://smt.passwdword.xyz/Smart.php?id=hunan_twn
浙江卫视,https://smt.passwdword.xyz/Smart.php?id=zhejiang_twn
江苏卫视,https://smt.passwdword.xyz/Smart.php?id=jiangsu_twn
东方卫视,https://smt.passwdword.xyz/Smart.php?id=dongfangweishi_twn
北京卫视,https://smt.passwdword.xyz/Smart.php?id=beijing
深圳卫视,https://smt.passwdword.xyz/Smart.php?id=shenzhen
广东卫视,https://smt.passwdword.xyz/Smart.php?id=guangdongweishi_twn
大湾区卫视,https://smt.passwdword.xyz/Smart.php?id=nanfang_twn
珠江台,https://smt.passwdword.xyz/Smart.php?id=zhujiang
东南卫视,https://smt.passwdword.xyz/Smart.php?id=fujian
广西卫视,https://smt.passwdword.xyz/Smart.php?id=guangxi
湖北卫视,https://smt.passwdword.xyz/Smart.php?id=hubei
四川卫视,https://smt.passwdword.xyz/Smart.php?id=sichuan_twn
CGTN,https://smt.passwdword.xyz/Smart.php?id=CGTN
GPT-电影,#genre#
CCTV-6,https://smt.passwdword.xyz/Smart.php?id=cctv6
AXN Taiwan,https://smt.passwdword.xyz/Smart.php?id=axn_twn
HBO_HD,https://smt.passwdword.xyz/Smart.php?id=hbohd_twn
HBO_HITS,https://smt.passwdword.xyz/Smart.php?id=hbohit_twn
CINEMAX,https://smt.passwdword.xyz/Smart.php?id=cinemax_twn
好萊塢電影台,https://smt.passwdword.xyz/Smart.php?id=hollywoodmovies_twn
东森电影,https://smt.passwdword.xyz/Smart.php?id=ettvmovie
东森洋片,https://smt.passwdword.xyz/Smart.php?id=ettvwestern
龙华电影,https://smt.passwdword.xyz/Smart.php?id=xingwei_movie
龙华洋片,https://smt.passwdword.xyz/Smart.php?id=lunghuawestern_twn
龙祥时代,https://smt.passwdword.xyz/Smart.php?id=lungxiangtime_twn
美亚电影,https://smt.passwdword.xyz/Smart.php?id=meiyamovie_twn
卫视电影台,https://smt.passwdword.xyz/Smart.php?id=weishimovie_twn
天映频道,https://smt.passwdword.xyz/Smart.php?id=Celestial
天映频道,https://smt.passwdword.xyz/Smart.php?id=Celestialindo
天映经典,https://smt.passwdword.xyz/Smart.php?id=Celestial2
Animax,https://smt.passwdword.xyz/Smart.php?id=Animax
Movies Now HD,https://smt.passwdword.xyz/Smart.php?id=moviesnow_raj
Star Movies HD,https://smt.passwdword.xyz/Smart.php?id=starmovies_raj
Hits,https://smt.passwdword.xyz/Smart.php?id=Hits
Warner TV,https://smt.passwdword.xyz/Smart.php?id=WarnerTV
HBO HD,https://smt.passwdword.xyz/Smart.php?id=Hbo
HBO Signature,https://smt.passwdword.xyz/Smart.php?id=Hbosignature
HBO Family,https://smt.passwdword.xyz/Smart.php?id=Hbofamily
HBO Hits,https://smt.passwdword.xyz/Smart.php?id=Hbohitshd
Cinemax,https://smt.passwdword.xyz/Smart.php?id=Cinemax
Dreamworks,https://smt.passwdword.xyz/Smart.php?id=Dreamworks
SCM,https://smt.passwdword.xyz/Smart.php?id=Weishimovie
Thrill,https://smt.passwdword.xyz/Smart.php?id=Thrill
Hits Movie,https://smt.passwdword.xyz/Smart.php?id=Hitsmovie
One,https://smt.passwdword.xyz/Smart.php?id=One
tvN Movie,https://smt.passwdword.xyz/Smart.php?id=Tvnmovie
Axn HD,https://smt.passwdword.xyz/Smart.php?id=Axn
Paramount Network,https://smt.passwdword.xyz/Smart.php?id=Paramountnetwork
Astrol Kplus,https://smt.passwdword.xyz/Smart.php?id=Kplus
Rock Actions,https://smt.passwdword.xyz/Smart.php?id=Rockaction
Rock Entertainment,https://smt.passwdword.xyz/Smart.php?id=Rockentertain
GPT-记录,#genre#
Natgeo_HD,https://smt.passwdword.xyz/Smart.php?id=natgeohd_twn
NatGeo_Wild HD,https://smt.passwdword.xyz/Smart.php?id=natgeowild_twn
Animal_Planet,https://smt.passwdword.xyz/Smart.php?id=animalplanet_twn
Discovery Asia,https://smt.passwdword.xyz/Smart.php?id=discoverytwn_twn
CI,https://smt.passwdword.xyz/Smart.php?id=ci_twn
Asia Travel,https://smt.passwdword.xyz/Smart.php?id=asiatravel_twn
Discovery HD,https://smt.passwdword.xyz/Smart.php?id=discoveryhd_twn
亚洲美食,https://smt.passwdword.xyz/Smart.php?id=afc_twn
美食星球,https://smt.passwdword.xyz/Smart.php?id=foodplanet_twn
亚洲TLC,https://smt.passwdword.xyz/Smart.php?id=tlc_twn
NatGeo HD,https://smt.passwdword.xyz/Smart.php?id=Natgeo
Fashion TV,https://smt.passwdword.xyz/Smart.php?id=fashiontv_twn
History,https://smt.passwdword.xyz/Smart.php?id=History
BBC Earth HD,https://smt.passwdword.xyz/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,https://smt.passwdword.xyz/Smart.php?id=bbclifestyle_twn
MTV Live,https://smt.passwdword.xyz/Smart.php?id=mtvhd_twn
NatGeo Wild HD,https://smt.passwdword.xyz/Smart.php?id=Natgeowild
Animal Planet (Eng),https://smt.passwdword.xyz/Smart.php?id=AnimalPlanet
TLC,https://smt.passwdword.xyz/Smart.php?id=Tlc
Foodnetwork Hd,https://smt.passwdword.xyz/Smart.php?id=Foodnetwork
HGTV,https://smt.passwdword.xyz/Smart.php?id=HGTV
亚洲旅游台,https://smt.passwdword.xyz/Smart.php?id=asiatravel_twn
GPT-新闻,#genre#
Skynews,https://smt.passwdword.xyz/Smart.php?id=skynews_twn
ABC News,https://smt.passwdword.xyz/Smart.php?id=abcnews_glo
东森财经新闻,https://smt.passwdword.xyz/Smart.php?id=ettvcaijing_twn
CBS HD,https://smt.passwdword.xyz/Smart.php?id=cbshd_glo
CBSN HD,https://smt.passwdword.xyz/Smart.php?id=cbsn_glo
France 24,https://smt.passwdword.xyz/Smart.php?id=france24_twn
DW (Deutsch),https://smt.passwdword.xyz/Smart.php?id=dw_twn
NHK World,https://smt.passwdword.xyz/Smart.php?id=nhkworld_japan
Fox News,https://smt.passwdword.xyz/Smart.php?id=foxnews_twn
CGTN,https://smt.passwdword.xyz/Smart.php?id=CGTN
CNN International,https://smt.passwdword.xyz/Smart.php?id=Cnn
CNN backup,https://smt.passwdword.xyz/Smart.php?id=cnn_twn
CNBC,https://smt.passwdword.xyz/Smart.php?id=cnbc_twn
CNA,https://smt.passwdword.xyz/Smart.php?id=cna
BBC World News,https://smt.passwdword.xyz/Smart.php?id=bbcnews_twn
BBC World News,https://smt.passwdword.xyz/Smart.php?id=Bbcnews
Bloomberg News,https://smt.passwdword.xyz/Smart.php?id=bloomberg_twn
Al-Jazeera,https://smt.passwdword.xyz/Smart.php?id=aljazeera_twn
GPT-儿童,#genre#
Baby TV Eng,https://smt.passwdword.xyz/Smart.php?id=Babytv
CBeebies,https://smt.passwdword.xyz/Smart.php?id=Cbeebies
Kids TV,https://smt.passwdword.xyz/Smart.php?id=KidsTV
Momo TV,https://smt.passwdword.xyz/Smart.php?id=momo1_twn
Animax,https://smt.passwdword.xyz/Smart.php?id=Animax
Baby TV,https://smt.passwdword.xyz/Smart.php?id=babytv_twn
MiaoMi,https://smt.passwdword.xyz/Smart.php?id=MiaoMi
靖天卡通,https://smt.passwdword.xyz/Smart.php?id=jingtiancartoon_twn
东森幼幼,https://smt.passwdword.xyz/Smart.php?id=yoyo_twn
Cartoon Network,https://smt.passwdword.xyz/Smart.php?id=Cn
Nickelodeon,https://smt.passwdword.xyz/Smart.php?id=Nickelodeon
Nick Jr,https://smt.passwdword.xyz/Smart.php?id=Nickjr
GPT-体育,#genre#
Astro Premier League 1,https://smt.passwdword.xyz/Smart.php?id=go_assp1
Astro EPL 1 backup,https://smt.passwdword.xyz/Smart.php?id=go_assp1x
Astro Premier League 2,https://smt.passwdword.xyz/Smart.php?id=go_assp2
